tanggal ;gram ; harga 
06/10/2024;1;1.482.000,00
07/10/2024;1;1.478.000,00
08/10/2024;1;1.486.000,00
09/10/2024;1;1.483.000,00
10/10/2024;1;1.473.000,00
11/10/2024;1;1.481.000,00
12/10/2024;1;1.495.000,00
13/10/2024;1;1.495.000,00
14/10/2024;1;1.490.000,00
15/10/2024;1;1.488.000,00
16/10/2024;1;1.491.000,00
17/10/2024;1;1.496.000,00
18/10/2024;1;1.503.000,00
19/10/2024;1;1.514.000,00
20/10/2024;1;1.514.000,00
21/10/2024;1;1.514.000,00
22/10/2024;1;1.510.000,00
23/10/2024;1;1.521.000,00
24/10/2024;1;1.522.000,00
25/10/2024;1;1.529.000,00
26/10/2024;1;1.534.000,00
27/10/2024;1;1.534.000,00
28/10/2024;1;1.527.000,00
29/10/2024;1;1.527.000,00
30/10/2024;1;1.560.000,00
31/10/2024;1;1.567.000,00
01/11/2024;1;1.547.000,00
02/11/2024;1;1.539.000,00
03/11/2024;1;1.539.000,00
04/11/2024;1;1.539.000,00
05/11/2024;1;1.539.000,00
06/11/2024;1;1.543.000,00
07/11/2024;1;1.513.000,00
08/11/2024;1;1.527.000,00
09/11/2024;1;1.517.000,00
10/11/2024;1;1.517.000,00
11/11/2024;1;1.517.000,00
12/11/2024;1;1.482.000,00
13/11/2024;1;1.477.000,00
14/11/2024;1;1.466.000,00
15/11/2024;1;1.466.000,00
16/11/2024;1;1.468.000,00
17/11/2024;1;1.468.000,00
18/11/2024;1;1.476.000,00
19/11/2024;1;1.491.000,00
20/11/2024;1;1.498.000,00
21/11/2024;1;1.508.000,00
22/11/2024;1;1.520.000,00
23/11/2024;1;1.541.000,00
24/11/2024;1;1.541.000,00
25/11/2024;1;1.539.000,00
26/11/2024;1;1.499.000,00
27/11/2024;1;1.504.000,00
28/11/2024;1;1.513.000,00
29/11/2024;1;1.508.000,00
30/11/2024;1;1.514.000,00
01/12/2024;1;1.514.000,00
02/12/2024;1;1.509.000,00
03/12/2024;1;1.514.000,00
04/12/2024;1;1.503.000,00
05/12/2024;1;1.522.000,00
06/12/2024;1;1.514.000,00
07/12/2024;1;1.508.000,00
08/12/2024;1;1.508.000,00
09/12/2024;1;1.503.000,00
10/12/2024;1;1.517.000,00
11/12/2024;1;1.534.000,00
12/12/2024;1;1.548.000,00
13/12/2024;1;1.531.000,00
14/12/2024;1;1.517.000,00
15/12/2024;1;1.517.000,00
16/12/2024;1;1.517.000,00
17/12/2024;1;1.520.000,00
18/12/2024;1;1.520.000,00
19/12/2024;1;1.505.000,00
20/12/2024;1;1.515.000,00
21/12/2024;1;1.533.000,00
22/12/2024;1;1.533.000,00
23/12/2024;1;1.533.000,00
24/12/2024;1;1.520.000,00
25/12/2024;1;1.520.000,00
26/12/2024;1;1.520.000,00
